GeneralName,Class
ABULON,DemersalMolluscs
ALGAS,Algae
ALMEJA,DemersalMolluscs
BAGRE,Exclude
BANDERA,Exclude
BARRILETTE,LargePelagics
BERRUGATA,NonResDemFish
BESUGO,ResidentDemFish
CABRILLA,ResidentDemFish
CALAMAR,Cephalopods
CAMARON,Shrimp
CANGREJO,Crustaceans
CARACOL,DemersalMolluscs
CARPA,Exclude
CAZON,LargePelagics
CHARAL,Exclude
CINTILLA,ResidentDemFish
CORVINA,NonResDemFish
DORADO,LargePelagics
ERIZO,Echinoderm
ESMEDREGAL,LargePelagics
GUACHINANGO,ResidentDemFish
JAIBA,Crustaceans
JUREL,LargePelagics
LANGOSTA,Crustaceans
LANGOSTINO,Crustaceans
LEBRANCHA,SmallPelagics
LENGUADO,NonResDemFish
LISA,SmallPelagics
LOBINA,Exclude
MARLIN,LargePelagics
MERO,ResidentDemFish
MOJARRA,Exclude
OSTION,DemersalMolluscs
OTRAS,Exclude
PAMPANO,LargePelagics
PARGO,ResidentDemFish
PEPINO DE MAR,Echinoderm
PETO,LargePelagics
PEZ ESPADA,LargePelagics
PEZ GALLO,NonResDemFish
PEZ VELA,LargePelagics
PIERNA,ResidentDemFish
PULPO,Cephalopods
RAYA Y SIMILARES,NonResDemFish
ROBALO,NonResDemFish
RONCO,ResidentDemFish
RUBIA Y VILLAJAIBA,ResidentDemFish
RUBIO,ResidentDemFish
SABALO,LargePelagics
SARDINA,SmallPelagics
SIERRA,LargePelagics
TIBURON,LargePelagics
TRUCHA,Exclude
TUNIDOS,LargePelagics